"c" "z.fst"
1 5.25646476836378
1 6.36575476660068
1 6.23990931738209
1 6.54512069422257
1 5.40720474893815
1 6.25641046677447
1 6.69232273991884
1 5.33420720196114
1 5.66938046480052
1 5.30445722352006
1 5.44198522853403
1 5.70965211415511
1 6.11577755537008
1 5.41017145474738
1 5.58807245620882
1 5.10425986162895
1 5.30891649560599
1 5.30891649560599
1 5.62441920905802
1 5.21888342365607
1 5.12185740229865
1 6.74428615844091
1 5.28368106948331
1 5.60046444165424
1 5.29209287819087
1 5.03539911871514
1 5.03539911871514
1 5.0842944843351
1 5.02624102686923
1 5.09617052094413
1 6.35509489510599
1 5.73425181760439
1 6.71738311197204
1 5.3706184484149
1 5.15697877666143
1 5.42973144366978
1 5.68084189966602
1 5.77429313265702
1 5.03695617859638
1 5.05303351287316
1 5.18955726033058
1 5.73501652748689
1 5.36774387632645
1 5.63155957241877
1 5.02621338675299
1 5.19782165508489
1 5.0346896890651
1 5.21545604924291
1 5.28368106948331
1 5.11690982149256
1 5.03445935476314
1 5.05285845880367
1 5.33599459614435
1 5.33599459614435
1 5.65313728982633
1 5.42341107042402
1 5.72767346994042
1 7.08263803464732
1 5.4138291634625
1 5.23993597885516
1 5.33599459614435
1 5.07234474074944
1 6.00626741484646
1 7.05197593237047
1 5.75885152105366
1 5.75885152105366
1 7.22211927454191
1 6.23398511913569
1 6.24081222784577
1 6.57389405522335
1 5.82574060234269
1 6.48422030478448
1 6.59621805576927
1 5.83277961861058
1 6.23398511913569
1 5.82098650235025
1 6.11786899083188
1 6.01949781715102
1 6.01257857472016
1 6.01949781715102
1 6.03643199503108
1 5.83245715058783
1 6.43591459497754
1 7.05840686608118
1 5.11735206335232
1 5.96027426143119
1 5.4138291634625
1 6.86871274835942
1 7.37963108359388
1 7.21581732804029
1 6.19422020524541
1 6.24081222784577
1 7.05840686608118
1 6.59621805576927
1 6.44588346356635
1 6.21862642788104
1 6.23398511913569
1 6.23398511913569
1 5.81869237270274
1 5.17347071268173
1 7.22211927454191
1 5.4904936325267
1 5.568816508565
1 7.22211927454191
1 7.22211927454191
1 7.22211927454191
1 7.22211927454191
1 6.74428615844091
1 7.22211927454191
1 7.37963108359388
1 7.05197593237047
1 7.22211927454191
1 7.02274190276577
1 6.90122673842402
1 6.90122673842402
1 7.05840686608118
1 7.05840686608118
1 7.19693912865169
1 5.2674931747416
1 5.29240613284154
1 5.58596259400287
1 5.90178777547764
1 6.06161214092129
1 5.77896431230076
1 5.65275954157112
1 5.58596259400287
1 5.86748639122983
1 5.75277069548193
1 5.32921355429466
1 5.23988991199477
1 5.40355625359511
1 6.00401013868726
1 6.00401013868726
1 5.64788566774166
1 5.60816682071176
1 6.03944476770071
1 6.00401013868726
1 5.89283237781745
1 5.76424134371951
1 5.76424134371951
1 5.24188921373578
1 5.76424134371951
1 5.53473624524708
1 5.54739541848277
1 6.1657140320349
1 6.74908632529374
1 6.31242776901102
1 5.90492953535637
1 5.21888342365607
1 5.21888342365607
1 5.64557311134998
1 5.64557311134998
1 5.24619185849638
1 5.24619185849638
1 5.24619185849638
1 5.23320100386587
1 6.38409859040873
1 5.53254346269242
1 5.29204681133048
1 5.00432241469476
1 5.05371530240696
1 5.18883861730847
1 5.50895723017177
1 5.21458999226754
1 5.22946037480205
1 5.66033293341955
1 5.71632259553986
1 5.01131536410225
1 5.03129916814026
1 5.02558687745166
1 5.28368106948331
1 5.18863592312275
1 5.27526004740367
1 5.01773708444088
1 5.11690982149256
1 5.59656718526508
1 5.07914420934328
1 5.05303351287316
1 5.26832237822865
1 5.36310955017102
1 5.15438060573533
1 5.45193567037868
1 5.63965812647566
1 5.26470152300185
1 5.45193567037868
1 5.11735206335232
1 5.93114157891936
1 5.2366375916511
1 5.18955726033058
1 5.02621338675299
1 5.27832810030577
1 5.0346896890651
1 5.02621338675299
1 5.42341107042402
1 5.0346896890651
1 5.24952709918876
1 5.16280162781497
1 5.05848782914356
1 5.24952709918876
1 5.24952709918876
1 5.07798332446141
1 5.63351280729938
1 5.24952709918876
1 5.02816662163361
1 5.11868800230369
1 5.0433410454467
1 5.31459193280627
1 5.11541725521586
1 5.41863854368741
1 5.27055201427162
1 5.4904936325267
1 5.4904936325267
1 5.42783348902164
1 5.9161237824316
1 5.28555138401522
1 5.20994645274004
1 5.28555138401522
1 6.49557117918505
1 6.23329411622982
1 5.21705917598455
1 5.27217356775741
1 5.08560278317023
1 5.05091443729513
1 5.45926951455307
1 5.12628903426835
1 5.67715655083467
1 5.57996468877984
1 5.29001065610116
1 5.88208037260199
1 5.02409431117497
1 5.03377756522934
1 5.21097835041282
1 5.10311740349123
1 5.40119763034304
1 5.43233882796797
1 5.45611854130226
1 5.6538743595926
1 5.23537535967637
1 5.22613434748175
1 6.41102006362176
1 6.02906129736838
1 5.25016282186217
1 5.6538743595926
1 5.02099861815663
1 5.05406541054593
1 5.88711087375678
1 5.6538743595926
1 5.42973144366978
1 5.57330342076717
1 5.07762400295035
1 5.01774629781296
1 5.04509158614159
1 5.76145890535184
1 5.33357147928774
1 5.42867190588077
1 5.38716566466767
1 5.44713550352584
1 5.34097903043875
1 5.13999853192098
1 5.28381005669241
1 5.23239944049505
1 5.37238741585395
1 5.30574709561103
1 5.30574709561103
1 5.12628903426835
1 5.47189183430045
1 5.52791834990908
1 5.22948801491828
1 5.46380249361563
1 5.35258787925751
1 5.35258787925751
1 5.30574709561103
1 5.73534820888171
1 5.32579539325358
1 5.10507063837184
1 5.15550463712889
1 5.46861187384055
1 5.89418674351298
1 5.6538743595926
1 5.97674777070734
2 5.07557584159448
2 5.4706486181037
2 5.07765474570104
2 5.1134460947563
2 5.28306127093046
2 5.57494480724161
2 5.06070852737791
2 5.0326748204865
2 5.18465980988689
2 5.31253491140217
2 5.42638865967931
2 5.51147973469
2 5.1442876721293
2 5.42348179376408
2 5.25296665910224
2 5.19207546782542
2 5.00334517337282
2 5.06627027083181
2 5.07412690842931
2 5.54775706132862
2 5.54040440048422
2 5.54775706132862
2 5.21965019588811
2 5.46114505647373
2 5.01892345479466
2 5.03029893007901
2 6.48601778225038
2 5.16076591203883
2 5.12487556754991
2 5.04024347136794
2 5.2987565469557
2 5.01347870594416
2 5.02106535599535
2 5.68048293909253
2 5.15254929104626
2 5.2987565469557
2 5.14433267005368
2 5.15254929104626
2 5.06074452571742
2 5.76298213365869
2 5.6157039271489
2 5.04417628995912
2 5.18757567538699
2 5.07280396945241
2 5.32086852699814
2 5.47680433415947
2 5.06868215957881
2 5.27576260759532
2 5.20342394435514
2 5.0326748204865
2 5.0326748204865
2 5.15434020843675
2 5.15254929104626
2 6.08725517594165
2 5.85866572006945
2 5.85866572006945
2 5.92523564940357
2 6.08725517594165
2 6.08725517594165
2 6.39711988283677
2 5.30675717791123
2 6.24213803167239
2 6.39711988283677
2 6.08725517594165
2 6.08725517594165
2 6.08725517594165
2 5.16190885931819
2 5.04649818285735
2 5.88381955980027
2 5.43344433422276
2 5.16190885931819
2 5.89943383956162
2 5.13920290667387
2 5.68849256963293
2 6.38842628384572
2 5.82777014518719
2 5.26981388199172
2 5.28286328006317
2 5.56267837305445
2 5.57505280226013
2 5.88938130325417
2 5.03610366232458
2 5.2987565469557
2 5.60809927792795
2 5.77552755497703
2 5.76298213365869
2 5.60809927792795
2 5.5465961148795
2 5.76298213365869
2 5.7704067911821
2 5.9935154998643
2 5.44554877588214
2 5.7057717725965
2 5.13794296479111
2 5.13794296479111
2 5.22975672970482
2 5.08267651406233
2 5.07447789223951
2 5.1147690337332
2 5.08170455889563
2 5.15039839026069
2 5.92144682417041
2 5.75359556663213
2 5.58610429248891
2 5.75359556663213
2 5.39733799969681
2 5.30675717791123
2 5.14433267005368
2 5.07820372037853
2 5.07820372037853
2 5.07820372037853
2 5.2987565469557
2 5.32642127086716
2 5.81310082183791
2 5.75359556663213
2 5.32642127086716
2 5.67056539655823
2 5.21065061101125
2 5.57902161919082
2 5.08893122555174
2 5.75359556663213
2 5.52028132869957
2 5.01030185248263
2 5.18148295642535
2 5.22630988869699
2 5.09038915830179
2 5.93068039825407
2 5.18681971025733
2 5.57072400193436
2 5.08693331770908
2 5.08157856470735
2 5.04417628995912
2 5.20390992193849
2 5.46801173973478
2 5.86582938963143
2 5.01776250834554
2 5.36033170668316
2 5.64105575774701
2 5.20376592858046
2 5.62421753444241
2 5.84810020742402
2 5.45972312206319
2 6.16355365652766
2 5.60809927792795
2 5.2268498637896
2 5.2268498637896
2 5.28999995087051
2 5.28999995087051
2 5.28286328006317
2 5.41174633508466
2 5.07990464192025
2 5.23534547191335
2 5.14433267005368
2 5.13611604906111
2 5.63092222517567
2 6.29765647077773
2 5.84433838094549
2 6.46199789021404
2 6.30368619264522
2 6.79718742895264
2 5.07268697484901
2 5.07268697484901
2 5.6655976257062
2 5.8094109920384
2 5.6655976257062
2 5.00391214722006
2 5.42555169828576
2 5.42555169828576
2 5.65407815706382
2 5.84810020742402
2 5.85485889566654
2 5.60309550873642
2 6.06347827269699
2 5.41396923254924
2 5.0759178258198
2 5.0759178258198
2 5.46766975550945
2 5.46766975550945
2 5.20757275298337
2 5.21116358734923
2 6.53825137287566
2 5.87407300937863
2 5.02106535599535
2 5.22227807467215
2 5.13922090584363
2 5.12487556754991
2 5.69869809888329
2 5.3612136660011
2 6.04362518845864
2 5.07317295243236
2 5.23784735650912
2 5.05201492838687
2 5.05201492838687
2 5.09354801259357
3 5.5040678321202
3 5.25242032739476
3 5.25830941284711
3 5.70184167720104
3 5.05661206018568
3 5.05661206018568
3 5.05661206018568
3 5.25056947196688
3 5.03717043003
3 5.1004207374208
3 5.45667216647319
3 5.59882092259959
3 5.30056551300843
3 5.14606497375795
3 5.5995857388921
3 5.13402676531381
3 5.13402676531381
3 5.94826548664862
3 5.78525254206247
3 5.92057913685966
3 5.94826548664862
3 5.12517784080943
3 5.12517784080943
3 5.44595709021509
3 5.28822137804728
3 5.13074570341893
3 5.12517784080943
3 5.12517784080943
3 5.12517784080943
3 5.44595709021509
3 6.06661315975202
3 5.28822137804728
3 5.29507413202819
3 5.29507413202819
3 5.14606497375795
3 5.92057913685966
3 5.42166652476489
3 5.15165578085622
3 6.1967313555972
3 5.44962056025622
3 5.33200711079363
3 5.15165578085622
3 6.32310959977199
3 5.44962056025622
3 5.44962056025622
3 5.5995857388921
3 6.04710269613003
3 5.45667216647319
3 6.1967313555972
3 5.89757346278088
3 5.56331050213823
